tool,tool_type,catalog_desc,tool_material,diameter,corner_radius,length,flute_length,point_angle,point_length,taper_angle,num_flutes
NXT0302_023,Drilling Tool,Index. Insert Drill 26mm (880-D2600L32-05),"PVD (TI,AL)N",26.0,0.0,214.0,130.0,176.0,0.45397,,2.0
NXT0302_024,Drilling Tool,Index. Insert Drill 26.5mm (880-D2650L32-03),"PVD (TI,AL)N",26.5,0.0,164.0,80.0,176.0,0.4627,,2.0
NXT0302_025,Drilling Tool,Index. Insert Drill 27mm (880-D2700L32-05),"PVD (TI,AL)N",27.0,0.0,219.0,135.0,176.0,0.47143,,2.0
NXT0302_026,Drilling Tool,Index. Insert Drill 27.5mm (880-D2750L32-03),"PVD (TI,AL)N",27.5,0.0,168.0,83.0,176.0,0.480161,,2.0
NXT0302_027,Drilling Tool,Index. Insert Drill 28mm (880-D2800L32-05),"PVD (TI,AL)N",28.0,0.0,225.0,140.0,176.0,0.488891,,2.0
NXT0302_028,Drilling Tool,Index. Insert Drill 28.5mm (880-D2850L32-03),"PVD (TI,AL)N",28.5,0.0,171.0,86.0,176.0,0.497621,,2.0
NXT0302_029,Drilling Tool,Index. Insert Drill 29mm (880-D2900L32-05),"PVD (TI,AL)N",29.0,0.0,231.0,145.0,176.0,0.506351,,2.0
NXT0302_030,Drilling Tool,Index. Insert Drill 29.5mm (880-D2950L32-03),"PVD (TI,AL)N",29.5,0.0,175.0,89.0,176.0,0.515081,,2.0
NXT0302_031,Drilling Tool,Index. Insert Drill 30mm (880-D3000L32-05),"PVD (TI,AL)N",30.0,0.0,237.0,150.0,176.0,0.523812,,2.0
NXT0302_035,Drilling Tool,Index. Insert Drill 40mm (880-D4000L40-05),"PVD (TI,AL)N",40.0,0.0,304.0,200.0,176.0,0.698415,,2.0
NXT0302_036,Drilling Tool,Index. Insert Drill 42mm (880-D4200L50-05),"PVD (TI,AL)N",42.0,0.0,325.0,210.0,176.0,0.733336,,2.0
NXT0302_038,Drilling Tool,Index. Insert Drill 50mm (880-D5000L50-04),"PVD (TI,AL)N",50.0,0.0,320.0,200.0,176.0,0.873019,,2.0
NXT0321_9005460120000,Spot Drill,"NC Spot Drill, 142deg, 12mm, Carbide, Uncoated","PVD (TI,AL)N",12.0,0.0,102.0,30.0,142.0,2.06597,,2.0
NXT0321_9005560120000,Spot Drill,"NC Spot Drill, 120deg, 12mm, HSS, Uncoated","PVD (TI,AL)N",12.0,0.0,102.0,30.0,120.0,3.4641,,2.0
NXT0332_001,Boring Tool,Bore 23mm (825-23TC06-A18),"PVD (TI,AL)N",23.0,0.0,128.0,,,,,
NXT0332_004,Boring Tool,Bore 30mm (825-36TC06-A25),"PVD (TI,AL)N",30.0,0.0,158.0,,,,,
NXT0332_005,Boring Tool,Bore 24mm (825-29TC06-A20),"PVD (TI,AL)N",24.0,0.0,132.0,,,,,
UGT0201_004,Milling Tool-5 Parameters,End Mill 32 mm,"PVD (TI,AL)N",32.0,,83.0,,,,,6.0
UGT0201_005,Milling Tool-5 Parameters,End Mill 50 mm,"PVD (TI,AL)N",50.0,,181.6,,,,,8.0
UGT0201_006,Milling Tool-5 Parameters,End Mill 28 mm,"PVD (TI,AL)N",28.0,,46.23,,,,,2.0
UGT0201_007,Milling Tool-5 Parameters,End Mill 8 mm,"PVD (TI,AL)N",8.0,,27.0,,,,,4.0
UGT0201_008,Milling Tool-5 Parameters,End Mill 16 mm,"PVD (TI,AL)N",16.0,,38.0,,,,,4.0
UGT0201_009,Milling Tool-5 Parameters,End Mill 45 mm,"PVD (TI,AL)N",45.0,,93.0,,,,,6.0
UGT0201_010,Milling Tool-5 Parameters,End Mill 16 mm,"PVD (TI,AL)N",16.0,,26.0,,,,,2.0
UGT0201_014,Milling Tool-5 Parameters,End mill 6 mm,"PVD (TI,AL)N",6.0,,39.0,,,,,4.0
UGT0201_015,Milling Tool-5 Parameters,End mill 10 mm,"PVD (TI,AL)N",10.0,,23.0,,,,,4.0
UGT0201_018,Milling Tool-5 Parameters,End mill 30 mm,"PVD (TI,AL)N",30.0,,126.0,,,,,4.0
UGT0201_019,Milling Tool-5 Parameters,End mill 40 mm,"PVD (TI,AL)N",40.0,,83.0,,,,,6.0
UGT0201_020,Milling Tool-5 Parameters,End mill 50 mm,"PVD (TI,AL)N",50.0,,140.0,,,,,4.0
UGT0201_021,Milling Tool-5 Parameters,End Mill 50 mm R6,"PVD (TI,AL)N",50.0,,140.0,,,,,4.0
UGT0201_084,Milling Tool-5 Parameters,End mill 6 mm,"PVD (TI,AL)N",6.0,,40.0,,,,,4.0
